,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,85.77,69,71,16.17,MV,1651332081
1,ilulissat,69.2167,-51.1,23.02,42,20,9.22,GL,1651332165
2,hobart,-42.8794,147.3294,54.34,88,75,11.5,AU,1651332018
3,bluff,-46.6,168.3333,57.22,73,84,19.95,NZ,1651332166
4,butaritari,3.0707,172.7902,80.62,82,90,12.03,KI,1651332167
5,faanui,-16.4833,-151.75,80.22,75,15,16.75,PF,1651332108
6,kenai,60.5544,-151.2583,37.04,67,0,9.22,US,1651332168
7,cherskiy,68.75,161.3,-6.14,100,79,4.18,RU,1651332071
8,rikitea,-23.1203,-134.9692,75.7,76,48,13.18,PF,1651332169
9,guerrero negro,27.9769,-114.0611,61.05,75,55,11.81,MX,1651332169
10,kodiak,57.79,-152.4072,40.51,87,100,29.93,US,1651331911
11,sabha,27.0377,14.4283,97.72,8,11,22.59,LY,1651332170
12,clyde river,70.4692,-68.5914,14.23,79,100,3.44,CA,1651332171
13,atuona,-9.8,-139.0333,77.95,77,54,13.58,PF,1651332171
14,nenton,15.8,-91.75,82.29,51,74,5.17,GT,1651332172
15,saint-philippe,-21.3585,55.7679,78.31,79,45,11.18,RE,1651332172
16,dikson,73.5069,80.5464,17.47,93,100,17.36,RU,1651332173
17,jamestown,42.097,-79.2353,54.1,29,0,6.91,US,1651332057
18,taolanaro,,,,,,,,
19,port alfred,-33.5906,26.891,65.17,67,2,5.99,ZA,1651332174
20,albany,42.6001,-73.9662,53.47,32,2,1.99,US,1651332046
21,punta arenas,-53.15,-70.9167,41.11,81,20,4.61,CL,1651332175
22,sorgun,39.8101,35.186,64.6,58,100,13.87,TR,1651332176
23,nizhneyansk,,,,,,,,
24,palu,-0.8917,119.8707,76.87,96,100,3.04,ID,1651332177
25,saskylakh,71.9167,114.0833,15.22,92,100,16.89,RU,1651332177
26,ugoofaaru,5.6667,73,85.5,74,100,11.97,MV,1651332178
27,atambua,-9.1061,124.8925,73.62,90,74,4.34,ID,1651332179
28,katsuura,35.1333,140.3,52.95,66,41,8.66,JP,1651331904
