,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,norman wells,65.282,-126.8329,46.44,49,0,12.66,CA,1651354059
1,lashio,22.9333,97.75,63.99,89,64,1.74,MM,1651354059
2,henties bay,-22.116,14.2845,58.77,83,0,8.43,NA,1651354060
3,grand river south east,,,,,,,,
4,erzin,36.9559,36.2,64.35,79,100,3.36,TR,1651354061
5,egvekinot,66.3167,-179.1667,15.64,79,100,11.1,RU,1651354062
6,muros,42.7762,-9.0603,58.93,87,1,3.27,ES,1651354062
7,malwan,,,,,,,,
8,albany,42.6001,-73.9662,61.95,25,90,4,US,1651354030
9,ushuaia,-54.8,-68.3,40.66,75,0,0,AR,1651353784
10,chuy,-33.6971,-53.4616,55.44,70,100,3.78,UY,1651354063
11,bredasdorp,-34.5322,20.0403,55.72,87,34,5.39,ZA,1651354064
12,khatanga,71.9667,102.5,1.89,100,93,7.7,RU,1651354065
13,nakatsu,33.5981,131.1883,58.66,82,100,3.69,JP,1651354065
14,hermanus,-34.4187,19.2345,58.62,86,63,3.53,ZA,1651354066
15,yellowknife,62.456,-114.3525,36.12,48,0,8.05,CA,1651354067
16,pangnirtung,66.1451,-65.7125,25.92,92,100,4.5,CA,1651354068
17,rodrigues alves,-7.738,-72.6509,84.4,63,64,2.26,BR,1651354068
18,samusu,,,,,,,,
19,yola,9.2,12.4833,84.69,57,100,7.96,NG,1651354069
20,adrar,20.5022,-10.0711,81.91,10,0,7.9,MR,1651354070
21,hilo,19.7297,-155.09,74.48,81,100,5.75,US,1651354071
22,belushya guba,,,,,,,,
23,port hedland,-20.3167,118.5667,69.85,73,40,6.91,AU,1651354072
24,diffa,13.3154,12.6113,91.83,24,93,3.58,NE,1651354072
25,sakakah,29.9697,40.2064,85.57,17,0,16.28,SA,1651354073
26,busselton,-33.65,115.3333,54.88,87,0,5.48,AU,1651354073
27,tuktoyaktuk,69.4541,-133.0374,33.8,75,40,8.05,CA,1651354074
28,rikitea,-23.1203,-134.9692,76.03,75,52,10.67,PF,1651354075
29,vaini,-21.2,-175.2,78.96,94,75,12.66,TO,1651354076
30,aksarka,66.5606,67.7975,12.54,93,15,7.02,RU,1651354076
31,achinsk,56.2694,90.4993,51.87,85,100,3.18,RU,1651354077
32,sao joao da barra,-21.6403,-41.0511,77.09,82,26,8.39,BR,1651354077
33,pontes e lacerda,-15.2261,-59.3353,81.03,67,47,3.24,BR,1651354078
34,batticaloa,7.7102,81.6924,81.68,81,62,5.35,LK,1651354079
35,punta arenas,-53.15,-70.9167,42.12,81,78,5.66,CL,1651354079
36,paka,4.6374,103.4368,76.93,94,93,0,MY,1651354080
37,olenino,56.2092,33.4889,31.73,69,92,4.16,RU,1651354080
38,sentyabrskiy,,,,,,,,
39,mahebourg,-20.4081,57.7,77.29,78,20,5.75,MU,1651354081
40,marsh harbour,26.5412,-77.0636,72.32,82,100,20.51,BS,1651354082
41,brae,60.3964,-1.353,45,77,90,12.26,GB,1651354083
42,dali,25.7,100.1833,56.08,78,82,3.98,CN,1651354083
43,hasaki,35.7333,140.8333,50.4,61,100,10.2,JP,1651354084
44,leningradskiy,69.3833,178.4167,11.88,88,57,4,RU,1651354084
45,provideniya,64.3833,-173.3,31.59,89,100,16.17,RU,1651354085
46,siderno,38.2779,16.302,61.34,58,100,6.06,IT,1651354085
47,atar,20.5169,-13.0499,84.92,10,37,7.2,MR,1651354086
48,kamenka,51.3223,42.7678,41.95,74,19,7.85,RU,1651354087
49,broome,42.2506,-75.833,59.59,26,0,11.5,US,1651354088
50,arlit,18.7369,7.3853,90.9,8,100,4.27,NE,1651354088
51,kapaa,22.0752,-159.319,78.78,75,20,17.27,US,1651354089
52,bethel,41.3712,-73.414,62.98,34,0,13.8,US,1651353924
53,cape town,-33.9258,18.4232,57.9,81,0,6.91,ZA,1651354089
54,berlevag,70.8578,29.0864,26.4,73,96,17.76,NO,1651354090
55,klaksvik,62.2266,-6.589,43.72,88,28,8.63,FO,1651354091
56,ngunguru,-35.6167,174.5,64.06,74,32,8.5,NZ,1651354091
57,new norfolk,-42.7826,147.0587,52.59,71,100,5.99,AU,1651354092
58,tazovskiy,67.4667,78.7,13.24,92,61,8.75,RU,1651354092
59,aklavik,68.2191,-135.0107,46.4,53,20,9.22,CA,1651354093
60,nishihara,26.1842,127.7558,70.3,78,100,9.22,JP,1651354093
61,yulara,-25.2406,130.9889,60.64,55,100,10.36,AU,1651354094
62,duarte,34.1394,-117.9773,81.48,34,0,11.5,US,1651354095
63,barentsburg,,,,,,,,
64,atuona,-9.8,-139.0333,78.8,76,9,12.57,PF,1651354096
65,jalu,29.0331,21.5482,79.25,20,24,8.72,LY,1651354097
66,whitley bay,55.0397,-1.4471,48.02,88,100,9.82,GB,1651354045
67,saryshagan,,,,,,,,
68,saleaula,,,,,,,,
69,nizhneyansk,,,,,,,,
70,acajutla,13.5928,-89.8275,86.07,61,100,7.9,SV,1651354098
71,tasiilaq,65.6145,-37.6368,37.56,69,14,1.05,GL,1651354099
72,tela,15.7833,-87.45,87.75,74,40,4.61,HN,1651354100
73,pitimbu,-7.4706,-34.8086,79.39,76,97,13.76,BR,1651354100
74,carnarvon,-24.8667,113.6333,60.87,63,0,8.05,AU,1651354101
75,nantucket,41.2835,-70.0995,53.71,47,0,6.91,US,1651354013
76,pochutla,15.7432,-96.4661,84.81,43,6,9.55,MX,1651354102
77,coihaique,-45.5752,-72.0662,49.95,71,75,6.91,CL,1651354103
78,hayden,47.766,-116.7866,46.81,85,100,9.22,US,1651354103
79,ishigaki,24.3448,124.1572,73.53,100,75,10.36,JP,1651354104
80,lompoc,34.6391,-120.4579,66.52,58,0,23.02,US,1651354105
81,luganville,-15.5333,167.1667,76.44,89,100,5.23,VU,1651354106
82,saskylakh,71.9167,114.0833,9.79,91,100,16.91,RU,1651354106
83,lolua,,,,,,,,
84,vostok,46.4856,135.8833,35.26,80,100,3.65,RU,1651354107
85,puerto ayora,-0.7393,-90.3518,80.56,79,88,8.48,EC,1651354108
86,tsihombe,,,,,,,,
